# df_oferta
nombre_J	ubicacionesJ_x	ubicacionesJ_y	Ciudad
j01	7.127802	-73.113901	68001 - Bucaramanga
j06	k07	0	0	0	0	10	0	j06k07	Radioterapia	68211 - Contratación
j06	k08	0	0	0	0	10	0	j06k08	Hormonal	68211 - Contratación
j06	k09	0	0	0	0	0	0	j06k09	Cirugía	68211 - Contratación
j06	k10	0	0	0	0	10	0	j06k10	Cuidados paliativos	68211 - Contratación
j07	k01	20	1	2	20	10	200	j07k01	Consulta general diagnóstico	68271 - Florián
j07	k02	0	0	0	0	10	0	j07k02	Mamografía y ecografía	68271 - Florián
j07	k03	0	0	0	0	4	0	j07k03	Consulta especializada	68271 - Florián
j07	k04	0	0	0	0	4	0	j07k04	Biopsia diagnóstico	68271 - Florián
j07	k05	0	0	0	0	4	0	j07k05	Patología diagnóstico	68271 - Florián
j07	k06	0	0	0	0	10	0	j07k06	Quimioterapia	68271 - Florián
j07	k07	0	0	0	0	10	0	j07k07	Radioterapia	68271 - Florián
j07	k08	0	0	0	0	10	0	j07k08	Hormonal	68271 - Florián
j07	k09	0	0	0	0	0	0	j07k09	Cirugía	68271 - Florián
j07	k10	0	0	0	0	10	0	j07k10	Cuidados paliativos	68271 - Florián
j08	k01	120	1	12	120	10	1200	j08k01	Consulta general diagnóstico	68276 - Floridablanca
j08	k02	100	1	10	100	10	1000	j08k02	Mamografía y ecografía	68276 - Floridablanca
j08	k03	500	1	50	500	4	2000	j08k03	Consulta especializada	68276 - Floridablanca
j08	k04	100	1	10	100	4	400	j08k04	Biopsia diagnóstico	68276 - Floridablanca
j08	k05	50	1	5	50	4	200	j08k05	Patología diagnóstico	68276 - Floridablanca
j08	k06	100	1	10	100	10	1000	j08k06	Quimioterapia	68276 - Floridablanca
j08	k07	100	1	10	100	10	1000	j08k07	Radioterapia	68276 - Floridablanca
j08	k08	100	1	10	100	10	1000	j08k08	Hormonal	68276 - Floridablanca
j08	k09	100	1	10	100	6	600	j08k09	Cirugía	68276 - Floridablanca
j08	k10	100	1	10	100	10	1000	j08k10	Cuidados paliativos	68276 - Floridablanca
j09	k01	60	1	6	60	10	600	j09k01	Consulta general diagnóstico	68307 - Girón
j09	k02	40	1	4	40	10	400	j09k02	Mamografía y ecografía	68307 - Girón
j09	k03	0	0	0	0	4	0	j09k03	Consulta especializada	68307 - Girón
j09	k04	0	0	0	0	4	0	j09k04	Biopsia diagnóstico	68307 - Girón
j09	k05	0	0	0	0	4	0	j09k05	Patología diagnóstico	68307 - Girón
